,name,rating,total_rating_given,price_level,address
242,Kutumb bari Restaurant,3.8,648,$$,"Zia Market, Alankar More, Pahartoli, A.K Khan Gate, Anjuman Tower"
243,Curry Pot,4.2,256,$$,"RF Police Plaza, Lift -5"
244,The Pavilion,4.1,807,not specified,"787 Avenue Center, CDA Ave"
245,Shangri-La Restaurant,3.9,996,$$,"39, Jiban Bima Bhaban, Agrabad Commercial Area, Agrabad, Badamtoli"
246,Yellow cup resturant,3.5,15,not specified,Boropole Rd
247,Bonanza Port Restaurant,4.1,976,$$,"Bandar Bhavan, Port Colony Road, Main Gate"
248,Silver Spoon,4.1,"2,195",$$,"Sattar Chamber 99 Agrabad, C/A Commerce College Road"
249,BIR Chattala,4.2,"2,782",$$,87 Shahid Saifuddin Khaled Rd
250,A.R. Restaurant,3.9,15,$$,8QQ7+QH4
251,The Village Restaurant,4.1,951,$$,"Finlay House, Ground Floor, Ooposite CGO Building 11, Agrabad C/A"
252,Holy Fame Restaurant,3.8,501,$$,"1st &2nd Floor, Plot- 11, N.R.J. Complex, Block- G Firozshah H/E, Koibolya Dham Rastar Matha, Dhaka - Chittagong Hwy"
253,Tava Restaurant & Lounge,4.1,865,$$$,4 Zakir Hossain Rd
254,Lezzetli Turkish Delicacy,4.4,17,not specified,787 CDA Ave
255,Bonanza,4.0,396,$$,"2nd & 3rd Floor 1692, Golden Plaza CD Avenue, Circle"
256,Hunger Zone Restaurant,3.9,54,not specified,"22 No. Enayet Bazaar Ward, M A Aziz Stadium Market, Kajirdawri"
257,Handi Restaurant,4.0,"5,022",$$,"M M Ali Road, Punak Bhaban, CDA Ave"
258,Lake Dine Restaurant,3.8,"1,260",$$,"S.S Khaled Road, West Side Of Ashkar Dighi, Ashkar Dighirpar"
259,ক্যাফে চিটাগাং,3.0,1,not specified,Shahid Saifuddin Khaled Rd
260,cube,4.1,133,$$,"CPDL Khan Manor, 84/A"
261,Afghan Restaurant,3.9,"1,021",$$$,"62, Badsha Mia Bhaban, Beside Badsha Mia Petrol Pump, 2no. Gate"
