,name,rating,total_rating_given,price_level,address
214,Butterfly Park Bangladesh,3.9,"1,526",$$,"15, Naval Academy Road, Beside Airport, Patenga"
215,Sajna Art Gallery,5.0,1,$$,"B-60, Gulshan Shopping Center, Bir Uttom Mir Showkat Sarak, Gulshan-1"
216,HungryNaki,3.6,266,$$,"Asfia Tower, House - 76, Rd No. 11"
217,Hotel Pacific,3.7,372,$$,Not Provided
218,Butterfly Park Bangladesh,3.9,"1,526",$$,"15, Naval Academy Road, Beside Airport, Patenga"
219,Sajna Art Gallery,5.0,1,$$,"B-60, Gulshan Shopping Center, Bir Uttom Mir Showkat Sarak, Gulshan-1"
220,HungryNaki,3.6,266,$$,"Asfia Tower, House - 76, Rd No. 11"
221,Hotel Pacific,3.7,372,$$,Not Provided
222,Butterfly Park Bangladesh,3.9,"1,526",$$,"15, Naval Academy Road, Beside Airport, Patenga"
223,Sajna Art Gallery,5.0,1,$$,"B-60, Gulshan Shopping Center, Bir Uttom Mir Showkat Sarak, Gulshan-1"
224,HungryNaki,3.6,266,$$,"Asfia Tower, House - 76, Rd No. 11"
225,Hotel Pacific,3.7,372,$$,Not Provided
226,Butterfly Park Bangladesh,3.9,"1,526",$$,"15, Naval Academy Road, Beside Airport, Patenga"
227,Sajna Art Gallery,5.0,1,$$,"B-60, Gulshan Shopping Center, Bir Uttom Mir Showkat Sarak, Gulshan-1"
228,HungryNaki,3.6,266,$$,"Asfia Tower, House - 76, Rd No. 11"
229,Hotel Pacific,3.7,372,$$,Not Provided
